cycle,phase,step,t_ms,pause_no,servo6_q_target,servo6_q_measured,servo6_q_delta,servo7_q_target,servo7_q_measured,servo7_q_delta,servo8_q_target,servo8_q_measured,servo8_q_delta,servo9_q_target,servo9_q_measured,servo9_q_delta,middle_det_bit,index_det_bit
0,HOLD0,15,339.2,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,16,360.0,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.49295,-0.00295,0.49,0.48743,0.00257,0,0
0,HOLD0,17,380.3,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,18,403.7,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,0,0
0,HOLD0,19,423.0,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,20,443.7,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,0,0
0,HOLD0,21,464.4,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,22,486.4,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,23,508.2,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,24,526.3,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,0,0
0,HOLD0,25,547.5,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,26,567.5,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,27,588.4,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,28,609.1,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,29,629.8,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,30,651.0,-1,0.49,0.4904,-0.0004,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,31,672.5,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49295,-0.00295,0.49,0.48743,0.00257,0,0
0,HOLD0,32,695.6,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,33,715.1,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,34,734.5,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.4913,-0.0013,0,0
0,HOLD0,35,755.3,-1,0.49,0.49215,-0.00215,0.49,0.50656,-0.01656,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,36,779.1,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48743,0.00257,0,0
0,HOLD0,37,797.6,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48743,0.00257,0,0
0,HOLD0,38,818.5,-1,0.49,0.4904,-0.0004,0.49,0.5049,-0.0149,0.49,0.49121,-0.00121,0.49,0.48936,0.00064,0,0
0,HOLD0,39,838.9,-1,0.49,0.49215,-0.00215,0.49,0.5049,-0.0149,0.49,0.48947,0.00053,0.49,0.48936,0.00064,0,0
0,MOVE,40,859.3,-1,0.495,0.4904,0.0046,0.495,0.5049,-0.0099,0.495,0.49121,0.00379,0.495,0.48743,0.00757,0,0
0,MOVE,41,882.1,-1,0.5,0.4904,0.0096,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,42,903.0,0,0.5,0.4904,0.0096,0.5,0.50822,-0.00822,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,43,922.5,0,0.5,0.49215,0.00785,0.5,0.50656,-0.00656,0.5,0.48947,0.01053,0.5,0.48743,0.01257,0,0
0,PAUSE,44,942.9,0,0.5,0.49389,0.00611,0.5,0.5049,-0.0049,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,45,964.5,0,0.5,0.49215,0.00785,0.5,0.5049,-0.0049,0.5,0.48598,0.01402,0.5,0.48743,0.01257,0,0
0,PAUSE,46,986.9,0,0.5,0.4904,0.0096,0.5,0.50822,-0.00822,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,47,1006.2,0,0.5,0.4904,0.0096,0.5,0.5049,-0.0049,0.5,0.48947,0.01053,0.5,0.48162,0.01838,0,0
0,PAUSE,48,1027.1,0,0.5,0.4904,0.0096,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.49323,0.00677,0,0
0,PAUSE,49,1047.7,0,0.5,0.4904,0.0096,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.48162,0.01838,0,0
0,PAUSE,50,1070.1,0,0.5,0.4904,0.0096,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,51,1088.5,0,0.5,0.4904,0.0096,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
0,PAUSE,52,1108.6,0,0.5,0.49215,0.00785,0.5,0.50656,-0.00656,0.5,0.49121,0.00879,0.5,0.48743,0.01257,0,0
